id,questionText,diagnosticTarget,difficulty,recommendedScoringModels,contentCoverage,diagnosticCoverage,answerSignals
Q_TQ_004_EXPLAIN_COMPLEX_TOPIC,Explain a complex topic or process you worked with in a way that a non-expert could understand.,Clarity,Medium,"[""ThinkingQuality"", ""BIG_FIVE""]","{""communication"": 0.8, ""clarity"": 0.95, ""technicalThinking"": 0.6, ""stakeholderWork"": 0.5}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""A"": {""coverage"": 0.45, ""desiredDirection"": ""high""}, ""E"": {""coverage"": 0.3, ""desiredDirection"": ""high""}}}","[""uses simple language"", ""organizes explanation"", ""avoids unnecessary jargon"", ""checks understanding"", ""keeps accuracy""]"
Q_TQ_005_LEARN_FROM_MISTAKE,"Tell me about a mistake or wrong assumption you made in a task. How did you realize it, and what did you change?",Metacognition,Medium,"[""ThinkingQuality"", ""BIG_FIVE""]","{""metacognition"": 0.95, ""learningAbility"": 0.75, ""problemSolving"": 0.6, ""qualityAwareness"": 0.6}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""O"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""N"": {""coverage"": 0.35, ""desiredDirection"": ""low""}, ""C"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}}","[""recognizes own mistake"", ""explains how they noticed it"", ""adjusts approach"", ""reflects on learning"", ""does not blame only external factors""]"
Q_TQ_006_PLAN_BEFORE_ACTION,"Before starting a complex task, how do you usually plan your approach?",PlanningAndStructure,Basic,"[""ThinkingQuality"", ""BIG_FIVE""]","{""structuredThinking"": 0.95, ""selfManagement"": 0.7, ""prioritization"": 0.75, ""problemSolving"": 0.65}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}}","[""defines goal"", ""breaks into steps"", ""identifies risks"", ""prioritizes work"", ""checks progress""]"
Q_TQ_007_EVIDENCE_BASED_REASONING,"Tell me about a time you used data, evidence, or feedback to make a decision.",EvidenceBasedReasoning,Medium,"[""ThinkingQuality"", ""Experience""]","{""decisionMaking"": 0.85, ""dataUse"": 0.8, ""structuredThinking"": 0.75, ""problemSolving"": 0.7}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.8, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}}","[""uses evidence"", ""explains interpretation"", ""connects evidence to decision"", ""mentions limitations"", ""applies result""]"
Q_TQ_008_UNKNOWN_PROBLEM,How do you approach a problem when you do not initially know the answer?,UnknownProblemSolving,Medium,"[""ThinkingQuality"", ""BIG_FIVE""]","{""problemSolving"": 0.9, ""learningAbility"": 0.8, ""ambiguityHandling"": 0.75, ""structuredThinking"": 0.85}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""O"": {""coverage"": 0.5, ""desiredDirection"": ""high""}, ""N"": {""coverage"": 0.35, ""desiredDirection"": ""low""}}}","[""breaks down unknowns"", ""searches for information"", ""tests assumptions"", ""learns iteratively"", ""explains thinking process""]"
Q_TQ_009_REQUIREMENT_ANALYSIS,"When someone gives you a broad request, how do you turn it into concrete tasks?",RequirementAnalysis,Medium,"[""ThinkingQuality"", ""BIG_FIVE""]","{""ambiguityHandling"": 0.85, ""structuredThinking"": 0.9, ""communication"": 0.7, ""planning"": 0.75}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""A"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}}","[""clarifies goals"", ""identifies missing information"", ""breaks into tasks"", ""communicates assumptions"", ""defines deliverables""]"
Q_TQ_010_EVALUATE_SOLUTION,"After solving a problem, how do you evaluate whether your solution was good enough?",Evaluation,Medium,"[""ThinkingQuality"", ""PracticalAbilities""]","{""qualityAwareness"": 0.85, ""problemSolving"": 0.7, ""metacognition"": 0.85, ""impact"": 0.55}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.45, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}}","[""defines success criteria"", ""tests result"", ""considers limitations"", ""reflects on improvement"", ""connects to real outcome""]"
Q_TQ_011_TEACH_YOUR_PROCESS,Walk me through how you think when solving a difficult task from start to finish.,ThinkingProcess,Medium,"[""ThinkingQuality""]","{""structuredThinking"": 0.95, ""problemSolving"": 0.85, ""metacognition"": 0.9, ""clarity"": 0.75}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}}","[""describes process"", ""shows sequence"", ""explains why steps matter"", ""reflects on decision points"", ""communicates clearly""]"
Q_TQ_012_PRIORITIZE_LOGICALLY,"If you have several urgent tasks at once, how do you decide what to do first?",PrioritizationReasoning,Basic,"[""ThinkingQuality"", ""BIG_FIVE""]","{""prioritization"": 0.95, ""decisionMaking"": 0.8, ""pressureHandling"": 0.6, ""structuredThinking"": 0.75}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.7, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""N"": {""coverage"": 0.35, ""desiredDirection"": ""low""}}}","[""uses criteria"", ""considers impact and urgency"", ""communicates tradeoffs"", ""handles pressure"", ""does not choose randomly""]"
Q_EXP_001_PROFESSIONAL_EXPERIENCE,"Tell me about your most relevant professional experience. What systems, tools, or environments did you work with, what made the work complex, and what were you personally responsible for?",Experience,Medium,"[""Experience"", ""PracticalAbilities""]","{""professionalExposure"": 0.95, ""projectExperience"": 0.9, ""complexity"": 0.9, ""responsibility"": 0.95, ""ownership"": 0.65}","{""Experience"": {""exposure"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.95, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}}","[""mentions real work context"", ""mentions systems tools users or environments"", ""explains complexity"", ""states personal responsibility"", ""describes what was delivered or maintained""]"
Q_EXP_002_DATABASE_EXPERIENCE,"Tell me about your experience working with databases, data queries, or data-related tasks. What did you actually do?",DatabaseExperience,Basic,"[""Experience"", ""PracticalAbilities"", ""ThinkingQuality""]","{""database"": 0.95, ""dataWork"": 0.85, ""technicalExperience"": 0.75, ""specificity"": 0.65, ""projectExperience"": 0.55}","{""Experience"": {""exposure"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.45, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}}","[""mentions database or data work"", ""explains query or data usage"", ""describes practical responsibility"", ""mentions real tools or environments"", ""explains purpose of data work""]"
Q_EXP_003_API_INTEGRATION_EXPERIENCE,"Tell me about your experience working with APIs, integrations, or communication between systems.",APIExperience,Medium,"[""Experience"", ""ThinkingQuality"", ""PracticalAbilities""]","{""api"": 0.95, ""backend"": 0.7, ""integration"": 0.95, ""technicalExperience"": 0.75, ""systemUnderstanding"": 0.75}","{""Experience"": {""exposure"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""logic"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.4, ""desiredDirection"": ""high""}}}","[""mentions APIs or integrations"", ""understands request and response flow"", ""explains system interaction"", ""mentions practical implementation"", ""describes integration challenges""]"
Q_EXP_004_PRODUCTION_ENVIRONMENT,"Have you worked with production, live users, real customers, or operational systems? Describe your role.",ProductionExposure,Medium,"[""Experience"", ""PracticalAbilities"", ""BIG_FIVE""]","{""professionalExposure"": 0.9, ""production"": 0.95, ""responsibility"": 0.75, ""complexity"": 0.7}","{""Experience"": {""exposure"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.8, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}}","[""mentions real production or users"", ""states role"", ""explains responsibility"", ""describes constraints"", ""mentions impact or reliability""]"
Q_EXP_005_MOST_COMPLEX_PROJECT,"Describe the most complex project, task, or work environment you have been involved in. What made it complex?",Complexity,Medium,"[""Experience"", ""ThinkingQuality"", ""PracticalAbilities""]","{""complexity"": 0.95, ""projectExperience"": 0.85, ""systemUnderstanding"": 0.7, ""professionalExposure"": 0.7}","{""Experience"": {""exposure"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}}","[""describes complexity"", ""mentions dependencies or constraints"", ""explains role"", ""shows understanding of environment"", ""not just a simple task""]"
Q_EXP_006_RESPONSIBILITY_SCOPE,"What responsibilities have you had in previous work, projects, or studies that are most relevant to this role?",ResponsibilityScope,Basic,"[""Experience"", ""PracticalAbilities"", ""BIG_FIVE""]","{""responsibility"": 0.95, ""professionalExposure"": 0.75, ""projectExperience"": 0.7, ""ownership"": 0.75}","{""Experience"": {""exposure"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.95, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}}","[""states responsibilities clearly"", ""distinguishes role from team"", ""mentions ownership"", ""describes deliverables"", ""connects to role""]"
Q_EXP_007_TOOLS_ENVIRONMENTS,"What tools, platforms, systems, or work environments have you used, and how did you use them?",ToolExposure,Basic,"[""Experience"", ""PracticalAbilities""]","{""professionalExposure"": 0.9, ""technicalExperience"": 0.8, ""specificity"": 0.75, ""tools"": 0.95}","{""Experience"": {""exposure"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}}","[""names tools or systems"", ""explains actual usage"", ""does not only list buzzwords"", ""describes context"", ""states level of involvement""]"
Q_EXP_008_CLIENT_OR_STAKEHOLDER_EXPOSURE,"Tell me about your experience working with users, clients, stakeholders, or internal teams.",StakeholderExposure,Basic,"[""Experience"", ""BIG_FIVE"", ""ThinkingQuality""]","{""stakeholderWork"": 0.95, ""communication"": 0.85, ""professionalExposure"": 0.8, ""responsibility"": 0.55}","{""Experience"": {""exposure"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""A"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""E"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}}","[""mentions stakeholder interaction"", ""explains communication context"", ""describes responsibility"", ""shows professional exposure"", ""handles different needs""]"
Q_EXP_009_LEARNING_ON_JOB,Tell me about something you learned during work or a project because the situation required it.,LearningFromExperience,Medium,"[""Experience"", ""BIG_FIVE"", ""ThinkingQuality""]","{""learningAbility"": 0.85, ""professionalExposure"": 0.65, ""adaptability"": 0.75, ""projectExperience"": 0.6}","{""Experience"": {""exposure"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""O"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""C"": {""coverage"": 0.3, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""metacognition"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}}","[""learned due to real need"", ""explains context"", ""applied learning"", ""mentions outcome"", ""reflects on process""]"
Q_EXP_010_RELEVANT_BACKGROUND,"What part of your background is most relevant to this role, and why?",RelevantBackground,Basic,"[""Experience"", ""ThinkingQuality"", ""BIG_FIVE""]","{""professionalExposure"": 0.75, ""projectExperience"": 0.75, ""responsibility"": 0.55, ""selfAwareness"": 0.6}","{""Experience"": {""exposure"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.25, ""desiredDirection"": ""high""}}}","[""connects background to role"", ""uses relevant examples"", ""explains why experience matters"", ""shows self-awareness"", ""is specific""]"
Q_EXP_011_HANDLED_COMPLEXITY,"Tell me about a task where there were many moving parts, dependencies, or constraints. How did you handle it?",HandlingComplexity,Medium,"[""Experience"", ""ThinkingQuality"", ""PracticalAbilities""]","{""complexity"": 0.95, ""prioritization"": 0.75, ""structuredThinking"": 0.75, ""responsibility"": 0.65}","{""Experience"": {""exposure"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""logic"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.7, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}}","[""mentions dependencies"", ""handles constraints"", ""organizes work"", ""states responsibility"", ""explains outcome""]"
Q_EXP_012_HANDOVER_OR_MAINTENANCE,"Tell me about something you had to maintain, document, hand over, or support after it was created.",MaintenanceExperience,Medium,"[""Experience"", ""PracticalAbilities"", ""BIG_FIVE""]","{""maintenanceWork"": 0.9, ""responsibility"": 0.8, ""professionalExposure"": 0.65, ""qualityAwareness"": 0.65}","{""Experience"": {""exposure"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.85, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}}","[""mentions maintaining or supporting work"", ""documents or hands over clearly"", ""shows responsibility"", ""thinks about users or future maintainers"", ""understands continuity""]"
Q_HYB_001_UNCLEAR_TASK_DELIVERY,"Tell me about a task you owned when the situation was unclear. How did you clarify it, execute it, and deliver a result?",HybridAmbiguityOwnership,Advanced,"[""BIG_FIVE"", ""PracticalAbilities"", ""ThinkingQuality"", ""Experience""]","{""ambiguityHandling"": 0.9, ""ownership"": 0.9, ""problemSolving"": 0.8, ""impact"": 0.7, ""communication"": 0.7}","{""BIG_FIVE"": {""N"": {""coverage"": 0.8, ""desiredDirection"": ""low""}, ""C"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""A"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.7, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""logic"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.8, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}}","[""clarifies ambiguity"", ""takes ownership"", ""explains steps"", ""communicates decisions"", ""delivers a result""]"
Q_HYB_002_LEARN_BUILD_IMPACT,"Tell me about a time you had to learn something new and then use it to build, fix, or improve something.",HybridLearningExecution,Medium,"[""BIG_FIVE"", ""PracticalAbilities"", ""ThinkingQuality"", ""Experience""]","{""learningAbility"": 0.95, ""implementation"": 0.8, ""impact"": 0.7, ""adaptability"": 0.8, ""problemSolving"": 0.75}","{""BIG_FIVE"": {""O"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""C"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""structure"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.85, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.5, ""desiredDirection"": ""high""}}}","[""learns new material"", ""applies learning"", ""builds or improves something"", ""states result"", ""reflects on process""]"
Q_HYB_003_COMPLEX_PROBLEM_TEAM,"Describe a complex problem you worked on with others. What was your role, how did you reason through it, and what happened?",HybridTeamComplexProblem,Advanced,"[""BIG_FIVE"", ""ThinkingQuality"", ""Experience"", ""PracticalAbilities""]","{""problemSolving"": 0.9, ""teamwork"": 0.75, ""complexity"": 0.85, ""responsibility"": 0.7, ""communication"": 0.7}","{""BIG_FIVE"": {""A"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""C"": {""coverage"": 0.5, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""logic"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.8, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.7, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}}","[""explains complex problem"", ""states personal role"", ""describes team interaction"", ""reasons clearly"", ""mentions outcome""]"
Q_HYB_004_USER_TECHNICAL_ISSUE,Tell me about a technical issue you had to explain or resolve for someone else. What did you do?,HybridTechnicalCommunication,Medium,"[""BIG_FIVE"", ""ThinkingQuality"", ""PracticalAbilities"", ""Experience""]","{""technicalTroubleshooting"": 0.85, ""communication"": 0.85, ""stakeholderWork"": 0.75, ""problemSolving"": 0.75, ""customerOrientation"": 0.65}","{""BIG_FIVE"": {""A"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""E"": {""coverage"": 0.35, ""desiredDirection"": ""high""}, ""C"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}}","[""explains technical issue simply"", ""resolves or supports resolution"", ""communicates patiently"", ""mentions users or stakeholders"", ""states result""]"
Q_HYB_005_PRIORITY_OWNERSHIP_IMPACT,Tell me about a time you had several responsibilities at once and still had to deliver something important.,HybridPrioritizationDelivery,Medium,"[""BIG_FIVE"", ""PracticalAbilities"", ""ThinkingQuality"", ""Experience""]","{""prioritization"": 0.95, ""ownership"": 0.8, ""pressureHandling"": 0.75, ""impact"": 0.65, ""responsibility"": 0.8}","{""BIG_FIVE"": {""N"": {""coverage"": 0.6, ""desiredDirection"": ""low""}, ""C"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.7, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""logic"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.8, ""desiredDirection"": ""high""}}}","[""prioritizes clearly"", ""takes responsibility"", ""handles pressure"", ""communicates tradeoffs"", ""delivers result""]"
