question,answer,exposure,complexity,responsibility,set_type,notes
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around CRM automation, and I used Docker for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",2,4,4,main,complexity_high_exposure_low
Describe the broadest range of tools or systems you have worked with.,"I have worked across an internal operations platform, including candidate screening pipeline, support workflows, and reporting processes. I used tools such as Power BI, MongoDB, Pandas and had exposure to both technical and operational work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team.",5,3,3,main,exposure_high_complexity_low
Describe the most demanding technical or operational work you have done.,"I worked on API integration layer in a multi-team production system and used SQL, Jira, Kubernetes, PostgreSQL, Notion, Git across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with finance during the project. I was not the main owner of the whole thing.",4,3,3,main,exposure_high_complexity_low
Tell me about the most complex project you worked on.,"I worked on internal admin system in a multi-team production system and used Airflow, Looker, PostgreSQL, Pandas across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with product during the project.",4,5,4,minimal_pair_high,pair_dim=complexity
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around order management flow, and I used CI/CD pipelines for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with operations, QA during the project.",2,1,1,main,all_low
Describe the most demanding technical or operational work you have done.,"I had limited exposure, mostly around release process, and I used Airflow for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with QA, operations during the project.",2,5,3,main,complexity_high_exposure_low
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around internal admin system, and I used PostgreSQL for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with operations during the project.",2,3,2,main,mixed_mid
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around support operations dashboard, and I used Pandas for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members.",2,1,1,main,edge_uncertain
Tell me about a production issue or major challenge you handled.,"I worked mainly on reporting platform and used Notion, Git in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members. I worked with support, sales during the project.",3,5,1,main,responsibility_low_complexity_high
Tell me about the most complex project you worked on.,I have seen similar things before.,1,1,1,edge_case,short_vague
"What was your role in your last project, and how much responsibility did you have?","I used SQL, Python, Excel, dashboards, APIs, Git, and Docker.",4,1,1,edge_case,tool_list_only
Describe the broadest range of tools or systems you have worked with.,"I worked on reporting platform in an internal operations platform and used REST APIs, Pandas across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. it was some time ago.",4,2,2,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around monitoring dashboard, and I used Jira for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with QA, and was the main point of ownership.",2,4,5,main,responsibility_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around permissions system, and I used Tableau for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with QA, finance, and was the main point of ownership. I worked with QA, finance during the project.",2,3,5,main,responsibility_high_exposure_low
Describe a project where the scale or complexity was higher than usual.,"I worked mainly on fraud review workflow and used Jira, Kubernetes in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My role was quite limited, and the main ownership stayed with more senior team members. I worked with product during the project.",3,4,1,main,responsibility_low_complexity_high
"What was your role in your last project, and how much responsibility did you have?","I worked mainly on fraud review workflow and used CI/CD pipelines, Jira in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members.",3,5,1,main,responsibility_low_complexity_high
Describe a project where the scale or complexity was higher than usual.,"I had limited exposure, mostly around release process, and I used Lambda for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with engineering, QA during the project.",2,3,4,main,responsibility_high_exposure_low
"What was your role in your last project, and how much responsibility did you have?","I worked on analytics stack in a customer-facing product and used Tableau, Node.js, Power BI across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",4,5,4,minimal_pair_high,pair_dim=complexity
Tell me about a production issue or major challenge you handled.,"I had limited exposure, mostly around release process, and I used REST APIs for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members. I worked with engineering during the project.",2,5,1,main,responsibility_low_complexity_high
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around release process, and I used SQL for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with sales, support during the project.",2,4,2,main,complexity_high_exposure_low
Describe the broadest range of tools or systems you have worked with.,"I worked on payments workflow in a small internal tool and used Power BI, Airflow, Redis, SQL, Docker across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team.",4,2,3,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked mainly on monitoring dashboard and used Python, Pandas in that context. The work was relatively simple and focused on a limited scope with few dependencies. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with product, operations, management during the project. I do not remember every detail.",3,2,4,main,mixed_mid
"What was your role in your last project, and how much responsibility did you have?","I worked mainly on ETL pipeline and used Power BI, Spark in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team.",3,5,3,main,complexity_high_exposure_low
Tell me about a project where coordination across teams was required.,"I touched related tasks before, mostly around one area like CRM automation. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with engineering during the project.",1,1,2,main,all_low
"What kind of systems, teams, or environments have you been exposed to?","I worked on reporting platform in an enterprise environment and used Tableau, MongoDB, Notion, Redis, PostgreSQL, Docker across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with sales, and was the main point of ownership.",4,5,5,main,all_high
"What was your role in your last project, and how much responsibility did you have?","I had limited exposure, mostly around API integration layer, and I used MongoDB for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with support, sales during the project.",2,2,2,main,all_low
Tell me about a project where coordination across teams was required.,"I had limited exposure, mostly around data processing pipeline, and I used Docker for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with QA, engineering, and was the main point of ownership. I worked with QA, engineering during the project.",2,4,5,main,responsibility_high_exposure_low
"What kind of systems, teams, or environments have you been exposed to?","I supported the process when needed, mostly around one area like release process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with support, sales, and was the main point of ownership. I worked with support, sales during the project. I do not remember every detail.",1,3,5,main,responsibility_high_exposure_low
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around API integration layer, and I used Docker for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with engineering, management during the project.",2,3,3,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I had limited exposure, mostly around order management flow, and I used MongoDB for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",2,4,4,main,complexity_high_exposure_low
How much end-to-end ownership have you had in a real project?,"I supported the process when needed, mostly around one area like permissions system. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",1,2,2,main,edge_uncertain
Describe a project where the scale or complexity was higher than usual.,"I worked mainly on fraud review workflow and used Excel, MongoDB in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team.",3,3,3,main,mixed_mid
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around API integration layer, and I used AWS S3 for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",2,3,4,main,responsibility_high_exposure_low
Describe the broadest range of tools or systems you have worked with.,"I worked on mobile app backend in a high-volume workflow and used Pandas, Docker, Spark, AWS S3 across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with finance, operations during the project.",4,2,3,main,exposure_high_complexity_low
Tell me about a production issue or major challenge you handled.,"I worked mainly on analytics stack and used Python, SQL in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with finance during the project.",3,4,3,main,complexity_high_exposure_low
Describe the broadest range of tools or systems you have worked with.,"I had limited exposure, mostly around internal admin system, and I used Notion for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",2,2,2,main,edge_uncertain
Describe the broadest range of tools or systems you have worked with.,"I have worked across a multi-team production system, including order management flow, support workflows, and reporting processes. I used tools such as Docker, MongoDB, Redis and had exposure to both technical and operational work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",5,4,4,main,all_high
How much end-to-end ownership have you had in a real project?,"I worked mainly on fraud review workflow and used AWS S3, Node.js in that context. The work was relatively simple and focused on a limited scope with few dependencies. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with product, clients, support during the project.",3,2,4,main,responsibility_high_exposure_low
Describe the broadest range of tools or systems you have worked with.,"I have worked across a multi-team production system, including release process, support workflows, and reporting processes. I used tools such as Power BI, Pandas, PostgreSQL, MongoDB, Docker and had exposure to both technical and operational work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with QA, and was the main point of ownership.",5,4,5,main,all_high
How much end-to-end ownership have you had in a real project?,"I worked on CRM automation in a customer-facing product and used AWS S3, Lambda, Redis, Power BI, Node.js across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with engineering during the project.",4,3,3,main,exposure_high_complexity_low
Tell me about the most complex project you worked on.,"I had limited exposure, mostly around fraud review workflow, and I used Airflow for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with clients during the project.",2,3,2,main,mixed_mid
"What kind of systems, teams, or environments have you been exposed to?","I was involved to some extent, mostly around one area like permissions system. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with finance during the project.",1,3,3,main,edge_uncertain
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around analytics stack, and I used Node.js for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team.",2,2,3,main,edge_uncertain
Tell me about a project where coordination across teams was required.,"I have worked across a small internal tool, including ETL pipeline, support workflows, and reporting processes. I used tools such as Looker, SQL, Excel, Kubernetes and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with clients, support, product, and was the main point of ownership. I worked with clients, support, product during the project.",5,5,5,main,all_high
Describe the most demanding technical or operational work you have done.,"I worked on customer onboarding flow in a regulated environment and used Excel, Airflow, Pandas, Node.js, CI/CD pipelines across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with operations during the project.",4,4,2,main,mixed_mid
Tell me about a production issue or major challenge you handled.,"I worked on candidate screening pipeline in a small internal tool and used Power BI, SQL, MongoDB across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I do not remember every detail.",4,3,4,main,mixed_mid
Tell me about a production issue or major challenge you handled.,"I have worked across a high-volume workflow, including order management flow, support workflows, and reporting processes. I used tools such as Excel, SQL and had exposure to both technical and operational work. It was a fairly basic task with clear instructions and low complexity. I was responsible for one meaningful part of the work, together with the rest of the team. I was not the main owner of the whole thing.",5,1,3,main,exposure_high_complexity_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked mainly on candidate screening pipeline and used MongoDB, PostgreSQL in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",3,3,4,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around data processing pipeline, and I used Excel for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team.",2,5,3,main,complexity_high_exposure_low
"What was your role in your last project, and how much responsibility did you have?","I worked on API integration layer in a high-volume workflow and used Python, CI/CD pipelines, Pandas, Kubernetes across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with QA, sales during the project.",4,2,3,main,mixed_mid
Tell me about a project where coordination across teams was required.,"I worked mainly on ETL pipeline and used MongoDB, Tableau in that context. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with sales, support, clients during the project.",3,2,3,main,mixed_mid
Describe a project where the scale or complexity was higher than usual.,"I had limited exposure, mostly around data processing pipeline, and I used Excel for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with product, support, QA during the project.",2,1,1,main,all_low
Describe a project where the scale or complexity was higher than usual.,"I had limited exposure, mostly around mobile app backend, and I used AWS S3 for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members.",2,1,1,main,all_low
Tell me about a production issue or major challenge you handled.,"I worked mainly on permissions system and used Python, Airflow in that context. The work was relatively simple and focused on a limited scope with few dependencies. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with sales, QA, and was the main point of ownership. I worked with sales, QA during the project. I do not remember every detail.",3,2,5,main,responsibility_high_exposure_low
Tell me about a production issue or major challenge you handled.,"I have some background in it, mostly around one area like permissions system. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I was not the main owner of the whole thing.",1,1,1,main,all_low
Describe a project where the scale or complexity was higher than usual.,"I have worked across a customer-facing product, including release process, support workflows, and reporting processes. I used tools such as React, REST APIs, SQL, Spark, Lambda and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with sales, support during the project. to the best of my memory.",5,5,4,main,all_high
Describe a project where the scale or complexity was higher than usual.,"I worked mainly on ETL pipeline and used Power BI, PostgreSQL in that context. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with QA, operations, management during the project.",3,1,2,main,edge_uncertain
Tell me about the most complex project you worked on.,"I was the primary owner for a customer-facing release, coordinated across engineering, QA, and support, and was accountable for the rollout.",3,4,5,edge_case,production_owner
"What was your role in your last project, and how much responsibility did you have?","I was involved to some extent, mostly around one area like customer onboarding flow. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with clients during the project. to the best of my memory.",1,5,3,main,complexity_high_exposure_low
Tell me about a production issue or major challenge you handled.,"I had limited exposure, mostly around permissions system, and I used Jira for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with clients during the project. I was not the main owner of the whole thing.",2,3,4,main,responsibility_high_exposure_low
Tell me about a production issue or major challenge you handled.,"I worked on data processing pipeline in a small internal tool and used Git, Airflow, Looker, Lambda across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with clients, operations, management, and was the main point of ownership.",4,5,5,main,all_high
Describe the most demanding technical or operational work you have done.,"I had limited exposure, mostly around payments workflow, and I used Power BI for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members.",2,1,1,main,all_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I have worked across an enterprise environment, including monitoring dashboard, support workflows, and reporting processes. I used tools such as Airflow, CI/CD pipelines and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",5,5,4,main,all_high
Tell me about the most complex project you worked on.,"I worked mainly on fraud review workflow and used Node.js, Power BI in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with product, sales during the project.",3,4,2,main,mixed_mid
How much end-to-end ownership have you had in a real project?,"I worked mainly on payments workflow and used Node.js, PostgreSQL in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with clients, QA, engineering during the project.",3,5,2,main,responsibility_low_complexity_high
Describe a project where the scale or complexity was higher than usual.,"I had limited exposure, mostly around release process, and I used AWS S3 for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with finance during the project.",2,3,4,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I was involved to some extent, mostly around one area like fraud review workflow. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members.",1,1,1,main,all_low
Describe a project where the scale or complexity was higher than usual.,"I had limited exposure, mostly around internal admin system, and I used Lambda for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with clients, engineering, finance during the project.",2,5,3,main,complexity_high_exposure_low
Describe a project where the scale or complexity was higher than usual.,"I worked mainly on permissions system and used AWS S3, Airflow in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with engineering, finance, clients, and was the main point of ownership. I worked with engineering, finance, clients during the project.",3,3,5,main,responsibility_high_exposure_low
Describe the broadest range of tools or systems you have worked with.,"I have worked across a high-volume workflow, including CRM automation, support workflows, and reporting processes. I used tools such as Lambda, Looker and had exposure to both technical and operational work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with support, product, and was the main point of ownership. I worked with support, product during the project. I only handled one part of it.",5,4,5,main,all_high
Tell me about a production issue or major challenge you handled.,"I worked on very advanced systems, but I cannot explain what exactly I handled.",1,2,1,edge_case,big_claim_low_detail
"What kind of systems, teams, or environments have you been exposed to?","I have worked across a regulated environment, including permissions system, support workflows, and reporting processes. I used tools such as Excel, Airflow, Git and had exposure to both technical and operational work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with sales, management, operations during the project.",5,4,4,minimal_pair_high,pair_dim=exposure
Describe the broadest range of tools or systems you have worked with.,"I have worked across a high-volume workflow, including inventory service, support workflows, and reporting processes. I used tools such as Airflow, Docker, CI/CD pipelines, REST APIs, Excel, Power BI and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with engineering, product, clients, and was the main point of ownership. I worked with engineering, product, clients during the project.",5,5,5,main,all_high
Tell me about the most complex project you worked on.,"I worked mainly on inventory service and used Docker, Airflow in that context. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",3,2,2,main,mixed_mid
Tell me about the most complex project you worked on.,"I have seen similar things, mostly around one area like monitoring dashboard. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with clients, management during the project.",1,1,1,main,all_low
Tell me about a project where coordination across teams was required.,"I worked mainly on mobile app backend and used REST APIs, Tableau in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with finance during the project.",3,3,2,main,mixed_mid
Tell me about a production issue or major challenge you handled.,"I had limited exposure, mostly around order management flow, and I used PostgreSQL for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with QA, clients during the project.",2,1,1,main,all_low
How much end-to-end ownership have you had in a real project?,"I worked mainly on API integration layer and used Redis, PostgreSQL in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",3,3,2,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I supported the process when needed, mostly around one area like candidate screening pipeline. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with management, clients, support during the project.",1,1,2,main,all_low
Describe the most demanding technical or operational work you have done.,It was mostly a small intern project with limited impact and close guidance.,1,1,1,edge_case,intern_scope
"What was your role in your last project, and how much responsibility did you have?","I had limited exposure, mostly around monitoring dashboard, and I used CI/CD pipelines for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",2,1,2,main,all_low
Describe the most demanding technical or operational work you have done.,"I had limited exposure, mostly around customer onboarding flow, and I used Tableau for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with QA, management, finance during the project.",2,1,1,main,all_low
Tell me about a project where coordination across teams was required.,"I worked on inventory service in a small internal tool and used Docker, Looker, REST APIs, CI/CD pipelines, Pandas across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",4,3,4,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I was involved to some extent, mostly around one area like analytics stack. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I do not remember every detail.",1,1,2,main,all_low
How much end-to-end ownership have you had in a real project?,"I had limited exposure, mostly around release process, and I used React for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with engineering during the project.",2,3,3,main,mixed_mid
How much end-to-end ownership have you had in a real project?,"I worked on fraud review workflow in a customer-facing product and used Spark, Excel, Python, Node.js, React across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with finance, support, and was the main point of ownership. I worked with finance, support during the project.",4,5,5,main,all_high
How much end-to-end ownership have you had in a real project?,"I was involved to some extent, mostly around one area like data processing pipeline. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with sales, product, finance during the project.",1,4,4,minimal_pair_low,pair_dim=exposure
"What level of responsibility have you had for delivery, quality, or outcomes?","I have worked across a customer-facing product, including inventory service, support workflows, and reporting processes. I used tools such as Node.js, REST APIs, MongoDB and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with QA, and was the main point of ownership. I worked with QA during the project.",5,5,5,main,all_high
Describe the broadest range of tools or systems you have worked with.,"I touched related tasks before, mostly around one area like API integration layer. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with management, finance, operations during the project.",1,1,1,main,all_low
Describe a project where the scale or complexity was higher than usual.,"I worked on data processing pipeline in a small internal tool and used REST APIs, SQL, PostgreSQL across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with product, engineering, sales during the project.",4,3,4,main,exposure_high_complexity_low
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around permissions system, and I used Looker for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with support, engineering, management during the project.",2,3,3,main,mixed_mid
