text,O,C,E,A,N
"During resolving a conflict, I focused on structured execution. I focus on what works reliably rather than trying novel approaches. I’m comfortable giving credit and sharing ownership. I contribute thoughtfully after reflecting. I documented what we learned and applied it next time.",1.0,4.0,2.0,5.0,3.0
"In my last role as a Finance Analyst (Mid-level), I faced leading a meeting. I prefer proven methods and practical solutions over experimentation. I plan my work, break tasks into steps, and track progress carefully. I focus on what works reliably rather than trying novel approaches. I delivered the outcome by communicating clearly and iterating fast.",1.0,5.0,4.0,3.0,3.0
"As a Junior QA Engineer, I once handled working with ambiguity. I’m comfortable debating strongly if I think it improves the outcome. I like learning unfamiliar tools and connecting concepts across domains. I like learning unfamiliar tools and connecting concepts across domains. The result was measurable improvement and positive feedback from stakeholders.",4.0,4.0,2.0,1.0,2.0
"In my last role as a HR Coordinator (Senior), I faced resolving a conflict. I focus on what works reliably rather than trying novel approaches. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. I’m comfortable debating strongly if I think it improves the outcome. I delivered the outcome by communicating clearly and iterating fast.",2.0,2.0,4.0,3.0,4.0
"In my last role as a Customer Support (Junior), I faced supporting a teammate. I prefer flexibility over rigid routines. I like learning unfamiliar tools and connecting concepts across domains. I feel energized in group settings and enjoy meeting new people. I delivered the outcome by communicating clearly and iterating fast.",4.0,1.0,4.0,3.0,4.0
"As a Junior UX Designer, I once handled resolving a conflict. I sometimes miss small details if the pace is hectic. I can get stressed under uncertainty, so I actively seek clarity and reassurance. I can get stressed under uncertainty, so I actively seek clarity and reassurance. The result was measurable improvement and positive feedback from stakeholders.",2.0,1.0,4.0,3.0,5.0
"When receiving feedback came up, I collaborated across functions. I like clear procedures and established best practices. I often start conversations and help the team stay connected. I often start conversations and help the team stay connected. I balanced speed and quality while keeping others informed.",1.0,3.0,5.0,4.0,3.0
"In my last role as a Software Engineer (Junior), I faced prioritizing tasks. I focus on what works reliably rather than trying novel approaches. I do my best work in quiet environments and prefer one-on-one discussions. I like clear procedures and established best practices. I delivered the outcome by communicating clearly and iterating fast.",2.0,3.0,2.0,2.0,4.0
"During leading a meeting, I focused on structured execution. I plan my work, break tasks into steps, and track progress carefully. Presenting ideas to a room is exciting for me. I enjoy exploring new ideas and experimenting with better approaches. I documented what we learned and applied it next time.",4.0,5.0,5.0,3.0,2.0
"In my last role as a QA Engineer (Lead), I faced prioritizing tasks. I recharge with focused solo time after collaboration. I prefer proven methods and practical solutions over experimentation. I use checklists and routines to avoid mistakes. I delivered the outcome by communicating clearly and iterating fast.",2.0,4.0,1.0,3.0,2.0
"As a Lead Product Manager, I once handled fixing a critical issue. I contribute thoughtfully after reflecting. I focus on what works reliably rather than trying novel approaches. I recharge with focused solo time after collaboration. The result was measurable improvement and positive feedback from stakeholders.",2.0,2.0,1.0,3.0,4.0
"When managing stakeholders came up, I collaborated across functions. I enjoy exploring new ideas and experimenting with better approaches. I use checklists and routines to avoid mistakes. I follow through reliably and keep my commitments. I balanced speed and quality while keeping others informed.",4.0,4.0,4.0,2.0,4.0
"As a Senior Finance Analyst, I once handled managing stakeholders. I plan my work, break tasks into steps, and track progress carefully. I recharge with focused solo time after collaboration. I’m sensitive to critical feedback at first, but I work through it. The result was measurable improvement and positive feedback from stakeholders.",2.0,5.0,1.0,3.0,4.0
"When fixing a critical issue came up, I collaborated across functions. I’m curious and often propose creative alternatives. I prefer flexibility over rigid routines. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. I balanced speed and quality while keeping others informed.",5.0,2.0,3.0,4.0,3.0
"As a Mid-level Sales Representative, I once handled supporting a teammate. I like clear procedures and established best practices. I follow through reliably and keep my commitments. I like clear procedures and established best practices. The result was measurable improvement and positive feedback from stakeholders.",2.0,4.0,3.0,4.0,2.0
"During resolving a conflict, I focused on structured execution. I follow through reliably and keep my commitments. I do my best work in quiet environments and prefer one-on-one discussions. I do my best work in quiet environments and prefer one-on-one discussions. I documented what we learned and applied it next time.",3.0,5.0,2.0,3.0,2.0
"As a Intern Data Analyst, I once handled handling a deadline. I contribute thoughtfully after reflecting. I can get stressed under uncertainty, so I actively seek clarity and reassurance. I prefer flexibility over rigid routines. The result was measurable improvement and positive feedback from stakeholders.",3.0,3.0,1.0,3.0,4.0
"In my last role as a QA Engineer (Intern), I faced fixing a critical issue. I enjoy exploring new ideas and experimenting with better approaches. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. I prefer flexibility over rigid routines. I delivered the outcome by communicating clearly and iterating fast.",4.0,2.0,2.0,3.0,3.0
"In my last role as a HR Coordinator (Senior), I faced fixing a critical issue. I like clear procedures and established best practices. I recharge with focused solo time after collaboration. I contribute thoughtfully after reflecting. I delivered the outcome by communicating clearly and iterating fast.",1.0,3.0,2.0,3.0,3.0
"As a Mid-level HR Coordinator, I once handled handling a deadline. I focus on what works reliably rather than trying novel approaches. I prefer flexibility over rigid routines. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. The result was measurable improvement and positive feedback from stakeholders.",1.0,2.0,2.0,4.0,3.0
"As a Lead HR Coordinator, I once handled supporting a teammate. I like clear procedures and established best practices. I feel energized in group settings and enjoy meeting new people. I feel energized in group settings and enjoy meeting new people. The result was measurable improvement and positive feedback from stakeholders.",1.0,3.0,5.0,3.0,1.0
"In my last role as a Project Manager (Lead), I faced leading a meeting. I often start conversations and help the team stay connected. I plan my work, break tasks into steps, and track progress carefully. I often start conversations and help the team stay connected. I delivered the outcome by communicating clearly and iterating fast.",3.0,4.0,5.0,2.0,3.0
"During prioritizing tasks, I focused on structured execution. I contribute thoughtfully after reflecting. I can be blunt when discussing trade-offs and I challenge ideas directly. I focus on what works reliably rather than trying novel approaches. I documented what we learned and applied it next time.",3.0,3.0,2.0,2.0,3.0
"During leading a meeting, I focused on structured execution. I enjoy exploring new ideas and experimenting with better approaches. I feel energized in group settings and enjoy meeting new people. I like learning unfamiliar tools and connecting concepts across domains. I documented what we learned and applied it next time.",5.0,2.0,5.0,4.0,3.0
"As a Intern Project Manager, I once handled supporting a teammate. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. I focus on what works reliably rather than trying novel approaches. I sometimes miss small details if the pace is hectic. The result was measurable improvement and positive feedback from stakeholders.",2.0,1.0,3.0,2.0,4.0
"As a Junior QA Engineer, I once handled prioritizing tasks. I follow through reliably and keep my commitments. I feel energized in group settings and enjoy meeting new people. I plan my work, break tasks into steps, and track progress carefully. The result was measurable improvement and positive feedback from stakeholders.",2.0,5.0,5.0,4.0,2.0
"During fixing a critical issue, I focused on structured execution. I’m curious and often propose creative alternatives. I plan my work, break tasks into steps, and track progress carefully. I follow through reliably and keep my commitments. I documented what we learned and applied it next time.",4.0,4.0,2.0,2.0,3.0
"During learning a new tool, I focused on structured execution. I often start conversations and help the team stay connected. I like learning unfamiliar tools and connecting concepts across domains. Even when things go wrong, I stay calm and focus on solutions. I documented what we learned and applied it next time.",4.0,4.0,5.0,4.0,2.0
"As a Mid-level Data Analyst, I once handled handling a deadline. I often start conversations and help the team stay connected. I stay steady under pressure and keep a level head. I feel energized in group settings and enjoy meeting new people. The result was measurable improvement and positive feedback from stakeholders.",3.0,3.0,5.0,3.0,1.0
"In my last role as a Sales Representative (Junior), I faced fixing a critical issue. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. I’m comfortable giving credit and sharing ownership. I prefer flexibility over rigid routines. I delivered the outcome by communicating clearly and iterating fast.",3.0,2.0,3.0,4.0,3.0
"As a Intern QA Engineer, I once handled handling a deadline. I like learning unfamiliar tools and connecting concepts across domains. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. I sometimes miss small details if the pace is hectic. The result was measurable improvement and positive feedback from stakeholders.",4.0,2.0,4.0,3.0,4.0
"In my last role as a Sales Representative (Mid-level), I faced receiving feedback. I often start conversations and help the team stay connected. I’m comfortable debating strongly if I think it improves the outcome. I often start conversations and help the team stay connected. I delivered the outcome by communicating clearly and iterating fast.",3.0,3.0,4.0,2.0,4.0
"During fixing a critical issue, I focused on structured execution. I use checklists and routines to avoid mistakes. Presenting ideas to a room is exciting for me. Presenting ideas to a room is exciting for me. I documented what we learned and applied it next time.",3.0,4.0,4.0,3.0,2.0
"As a Junior Marketing Specialist, I once handled resolving a conflict. I like clear procedures and established best practices. Presenting ideas to a room is exciting for me. I’m comfortable debating strongly if I think it improves the outcome. The result was measurable improvement and positive feedback from stakeholders.",2.0,3.0,4.0,3.0,3.0
"When handling a deadline came up, I collaborated across functions. I enjoy exploring new ideas and experimenting with better approaches. I recharge with focused solo time after collaboration. Even when things go wrong, I stay calm and focus on solutions. I balanced speed and quality while keeping others informed.",4.0,3.0,2.0,4.0,3.0
"In my last role as a Project Manager (Intern), I faced receiving feedback. Presenting ideas to a room is exciting for me. I prefer flexibility over rigid routines. I prefer flexibility over rigid routines. I delivered the outcome by communicating clearly and iterating fast.",3.0,2.0,5.0,4.0,4.0
"In my last role as a Software Engineer (Lead), I faced leading a meeting. I contribute thoughtfully after reflecting. I don’t worry much about setbacks; I treat them as data. I don’t worry much about setbacks; I treat them as data. I delivered the outcome by communicating clearly and iterating fast.",3.0,4.0,1.0,3.0,1.0
"When leading a meeting came up, I collaborated across functions. I sometimes miss small details if the pace is hectic. I often start conversations and help the team stay connected. When pressure spikes, I notice anxiety and have to manage it deliberately. I balanced speed and quality while keeping others informed.",3.0,1.0,4.0,3.0,4.0
"During fixing a critical issue, I focused on structured execution. I use checklists and routines to avoid mistakes. I feel energized in group settings and enjoy meeting new people. I enjoy exploring new ideas and experimenting with better approaches. I documented what we learned and applied it next time.",4.0,5.0,5.0,3.0,3.0
"In my last role as a Product Manager (Senior), I faced leading a meeting. I feel energized in group settings and enjoy meeting new people. I like clear procedures and established best practices. I stay steady under pressure and keep a level head. I delivered the outcome by communicating clearly and iterating fast.",2.0,4.0,5.0,3.0,3.0
"During prioritizing tasks, I focused on structured execution. I like clear procedures and established best practices. I recharge with focused solo time after collaboration. I prefer proven methods and practical solutions over experimentation. I documented what we learned and applied it next time.",1.0,3.0,2.0,4.0,3.0
"In my last role as a Marketing Specialist (Mid-level), I faced prioritizing tasks. I like learning unfamiliar tools and connecting concepts across domains. I’m comfortable debating strongly if I think it improves the outcome. I stay steady under pressure and keep a level head. I delivered the outcome by communicating clearly and iterating fast.",5.0,3.0,3.0,2.0,3.0
"When resolving a conflict came up, I collaborated across functions. I focus on what works reliably rather than trying novel approaches. I sometimes miss small details if the pace is hectic. I can get stressed under uncertainty, so I actively seek clarity and reassurance. I balanced speed and quality while keeping others informed.",1.0,2.0,4.0,2.0,4.0
"As a Senior Software Engineer, I once handled leading a meeting. I plan my work, break tasks into steps, and track progress carefully. I feel energized in group settings and enjoy meeting new people. I focus on results even if the conversation is uncomfortable. The result was measurable improvement and positive feedback from stakeholders.",3.0,4.0,4.0,3.0,3.0
"As a Senior Finance Analyst, I once handled supporting a teammate. I’m curious and often propose creative alternatives. I prefer flexibility over rigid routines. I don’t worry much about setbacks; I treat them as data. The result was measurable improvement and positive feedback from stakeholders.",4.0,3.0,3.0,3.0,3.0
"During working with ambiguity, I focused on structured execution. I feel energized in group settings and enjoy meeting new people. I enjoy exploring new ideas and experimenting with better approaches. I often start conversations and help the team stay connected. I documented what we learned and applied it next time.",4.0,4.0,5.0,3.0,4.0
"In my last role as a Product Manager (Intern), I faced fixing a critical issue. I often start conversations and help the team stay connected. I’m patient with teammates and try to be supportive. I’m comfortable giving credit and sharing ownership. I delivered the outcome by communicating clearly and iterating fast.",4.0,2.0,5.0,5.0,5.0
"As a Intern HR Coordinator, I once handled managing stakeholders. I prefer flexibility over rigid routines. I feel energized in group settings and enjoy meeting new people. I’m comfortable debating strongly if I think it improves the outcome. The result was measurable improvement and positive feedback from stakeholders.",4.0,1.0,5.0,2.0,4.0
"In my last role as a Product Manager (Intern), I faced managing stakeholders. I can get stressed under uncertainty, so I actively seek clarity and reassurance. I focus on what works reliably rather than trying novel approaches. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. I delivered the outcome by communicating clearly and iterating fast.",2.0,2.0,2.0,4.0,5.0
"In my last role as a Project Manager (Mid-level), I faced managing stakeholders. I like learning unfamiliar tools and connecting concepts across domains. I listen first, try to understand others' perspectives, and look for win-win solutions. I do my best work in quiet environments and prefer one-on-one discussions. I delivered the outcome by communicating clearly and iterating fast.",4.0,3.0,3.0,4.0,3.0
"In my last role as a Marketing Specialist (Junior), I faced supporting a teammate. Presenting ideas to a room is exciting for me. I like learning unfamiliar tools and connecting concepts across domains. Presenting ideas to a room is exciting for me. I delivered the outcome by communicating clearly and iterating fast.",4.0,4.0,5.0,3.0,2.0
"In my last role as a Finance Analyst (Senior), I faced receiving feedback. I enjoy exploring new ideas and experimenting with better approaches. I often start conversations and help the team stay connected. I like learning unfamiliar tools and connecting concepts across domains. I delivered the outcome by communicating clearly and iterating fast.",5.0,4.0,5.0,4.0,3.0
"As a Senior Finance Analyst, I once handled prioritizing tasks. I prefer proven methods and practical solutions over experimentation. I stay steady under pressure and keep a level head. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. The result was measurable improvement and positive feedback from stakeholders.",1.0,3.0,3.0,3.0,2.0
"When learning a new tool came up, I collaborated across functions. I listen first, try to understand others' perspectives, and look for win-win solutions. I can get stressed under uncertainty, so I actively seek clarity and reassurance. I’m comfortable giving credit and sharing ownership. I balanced speed and quality while keeping others informed.",3.0,3.0,3.0,4.0,4.0
"As a Lead Project Manager, I once handled working with ambiguity. I use checklists and routines to avoid mistakes. I often start conversations and help the team stay connected. I can get stressed under uncertainty, so I actively seek clarity and reassurance. The result was measurable improvement and positive feedback from stakeholders.",3.0,5.0,5.0,3.0,4.0
"As a Senior Software Engineer, I once handled receiving feedback. I contribute thoughtfully after reflecting. I like clear procedures and established best practices. I prefer flexibility over rigid routines. The result was measurable improvement and positive feedback from stakeholders.",3.0,3.0,1.0,3.0,3.0
"During fixing a critical issue, I focused on structured execution. I follow through reliably and keep my commitments. I enjoy exploring new ideas and experimenting with better approaches. I often start conversations and help the team stay connected. I documented what we learned and applied it next time.",4.0,5.0,4.0,3.0,3.0
"When supporting a teammate came up, I collaborated across functions. I feel energized in group settings and enjoy meeting new people. I like learning unfamiliar tools and connecting concepts across domains. I don’t worry much about setbacks; I treat them as data. I balanced speed and quality while keeping others informed.",4.0,4.0,5.0,4.0,2.0
"During handling a deadline, I focused on structured execution. I plan my work, break tasks into steps, and track progress carefully. I’m comfortable giving credit and sharing ownership. I listen first, try to understand others' perspectives, and look for win-win solutions. I documented what we learned and applied it next time.",2.0,5.0,4.0,5.0,3.0
"When receiving feedback came up, I collaborated across functions. I often start conversations and help the team stay connected. When pressure spikes, I notice anxiety and have to manage it deliberately. I prefer proven methods and practical solutions over experimentation. I balanced speed and quality while keeping others informed.",3.0,3.0,5.0,3.0,4.0
"In my last role as a Data Analyst (Senior), I faced working with ambiguity. I contribute thoughtfully after reflecting. I follow through reliably and keep my commitments. I prefer proven methods and practical solutions over experimentation. I delivered the outcome by communicating clearly and iterating fast.",3.0,4.0,1.0,4.0,3.0
"During resolving a conflict, I focused on structured execution. I enjoy exploring new ideas and experimenting with better approaches. I can get stressed under uncertainty, so I actively seek clarity and reassurance. I do my best work in quiet environments and prefer one-on-one discussions. I documented what we learned and applied it next time.",5.0,2.0,2.0,3.0,5.0
"In my last role as a Product Manager (Junior), I faced receiving feedback. I plan my work, break tasks into steps, and track progress carefully. I contribute thoughtfully after reflecting. I focus on what works reliably rather than trying novel approaches. I delivered the outcome by communicating clearly and iterating fast.",3.0,4.0,2.0,4.0,3.0
"In my last role as a UX Designer (Junior), I faced resolving a conflict. I often start conversations and help the team stay connected. I prefer flexibility over rigid routines. I like clear procedures and established best practices. I delivered the outcome by communicating clearly and iterating fast.",3.0,2.0,5.0,3.0,3.0
"When working with ambiguity came up, I collaborated across functions. I like learning unfamiliar tools and connecting concepts across domains. I use checklists and routines to avoid mistakes. I enjoy exploring new ideas and experimenting with better approaches. I balanced speed and quality while keeping others informed.",4.0,4.0,3.0,3.0,2.0
"In my last role as a Sales Representative (Lead), I faced working with ambiguity. Presenting ideas to a room is exciting for me. I prefer proven methods and practical solutions over experimentation. I plan my work, break tasks into steps, and track progress carefully. I delivered the outcome by communicating clearly and iterating fast.",2.0,4.0,5.0,2.0,3.0
"As a Mid-level Marketing Specialist, I once handled handling a deadline. I focus on what works reliably rather than trying novel approaches. I often start conversations and help the team stay connected. I like clear procedures and established best practices. The result was measurable improvement and positive feedback from stakeholders.",1.0,4.0,5.0,3.0,2.0
"As a Senior Data Analyst, I once handled managing stakeholders. I don’t worry much about setbacks; I treat them as data. I’m curious and often propose creative alternatives. I do my best work in quiet environments and prefer one-on-one discussions. The result was measurable improvement and positive feedback from stakeholders.",4.0,4.0,2.0,4.0,1.0
"When leading a meeting came up, I collaborated across functions. Presenting ideas to a room is exciting for me. I prefer proven methods and practical solutions over experimentation. I focus on what works reliably rather than trying novel approaches. I balanced speed and quality while keeping others informed.",2.0,4.0,5.0,2.0,4.0
"When resolving a conflict came up, I collaborated across functions. I feel energized in group settings and enjoy meeting new people. I’m sensitive to critical feedback at first, but I work through it. I can get stressed under uncertainty, so I actively seek clarity and reassurance. I balanced speed and quality while keeping others informed.",2.0,3.0,5.0,2.0,5.0
"During supporting a teammate, I focused on structured execution. I plan my work, break tasks into steps, and track progress carefully. I like clear procedures and established best practices. I prefer proven methods and practical solutions over experimentation. I documented what we learned and applied it next time.",2.0,5.0,2.0,4.0,2.0
"During leading a meeting, I focused on structured execution. I use checklists and routines to avoid mistakes. I like clear procedures and established best practices. I’m sensitive to critical feedback at first, but I work through it. I documented what we learned and applied it next time.",2.0,5.0,2.0,3.0,4.0
"When learning a new tool came up, I collaborated across functions. I contribute thoughtfully after reflecting. I’m patient with teammates and try to be supportive. I do my best work in quiet environments and prefer one-on-one discussions. I balanced speed and quality while keeping others informed.",4.0,3.0,1.0,5.0,5.0
"As a Mid-level Software Engineer, I once handled prioritizing tasks. I feel energized in group settings and enjoy meeting new people. I enjoy exploring new ideas and experimenting with better approaches. Presenting ideas to a room is exciting for me. The result was measurable improvement and positive feedback from stakeholders.",4.0,2.0,5.0,3.0,4.0
"When managing stakeholders came up, I collaborated across functions. I often start conversations and help the team stay connected. I’m sensitive to critical feedback at first, but I work through it. I often start conversations and help the team stay connected. I balanced speed and quality while keeping others informed.",4.0,2.0,5.0,2.0,5.0
"When managing stakeholders came up, I collaborated across functions. I follow through reliably and keep my commitments. I like learning unfamiliar tools and connecting concepts across domains. I follow through reliably and keep my commitments. I balanced speed and quality while keeping others informed.",4.0,5.0,3.0,3.0,3.0
"When supporting a teammate came up, I collaborated across functions. I do my best work in quiet environments and prefer one-on-one discussions. When pressure spikes, I notice anxiety and have to manage it deliberately. I contribute thoughtfully after reflecting. I balanced speed and quality while keeping others informed.",3.0,2.0,1.0,4.0,5.0
"When receiving feedback came up, I collaborated across functions. I follow through reliably and keep my commitments. I contribute thoughtfully after reflecting. I prefer proven methods and practical solutions over experimentation. I balanced speed and quality while keeping others informed.",3.0,5.0,2.0,4.0,3.0
"During receiving feedback, I focused on structured execution. I follow through reliably and keep my commitments. I focus on what works reliably rather than trying novel approaches. I focus on what works reliably rather than trying novel approaches. I documented what we learned and applied it next time.",2.0,5.0,2.0,4.0,2.0
"As a Senior Product Manager, I once handled supporting a teammate. I do my best work in quiet environments and prefer one-on-one discussions. I’m sensitive to critical feedback at first, but I work through it. I focus on results even if the conversation is uncomfortable. The result was measurable improvement and positive feedback from stakeholders.",3.0,3.0,2.0,3.0,4.0
"During resolving a conflict, I focused on structured execution. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. I’m sensitive to critical feedback at first, but I work through it. Presenting ideas to a room is exciting for me. I documented what we learned and applied it next time.",3.0,1.0,4.0,4.0,5.0
"When resolving a conflict came up, I collaborated across functions. I enjoy exploring new ideas and experimenting with better approaches. I do my best work in quiet environments and prefer one-on-one discussions. I can be blunt when discussing trade-offs and I challenge ideas directly. I balanced speed and quality while keeping others informed.",5.0,3.0,2.0,3.0,4.0
"In my last role as a Sales Representative (Mid-level), I faced handling a deadline. I prefer proven methods and practical solutions over experimentation. I often start conversations and help the team stay connected. Even when things go wrong, I stay calm and focus on solutions. I delivered the outcome by communicating clearly and iterating fast.",1.0,3.0,4.0,3.0,3.0
"When working with ambiguity came up, I collaborated across functions. I listen first, try to understand others' perspectives, and look for win-win solutions. I’m curious and often propose creative alternatives. I prefer flexibility over rigid routines. I balanced speed and quality while keeping others informed.",4.0,3.0,4.0,5.0,2.0
"In my last role as a UX Designer (Senior), I faced fixing a critical issue. I prefer flexibility over rigid routines. I do my best work in quiet environments and prefer one-on-one discussions. I focus on what works reliably rather than trying novel approaches. I delivered the outcome by communicating clearly and iterating fast.",3.0,1.0,1.0,4.0,5.0
"When supporting a teammate came up, I collaborated across functions. I enjoy exploring new ideas and experimenting with better approaches. I plan my work, break tasks into steps, and track progress carefully. I plan my work, break tasks into steps, and track progress carefully. I balanced speed and quality while keeping others informed.",5.0,4.0,4.0,2.0,3.0
"In my last role as a Customer Support (Intern), I faced leading a meeting. I listen first, try to understand others' perspectives, and look for win-win solutions. I’m curious and often propose creative alternatives. I contribute thoughtfully after reflecting. I delivered the outcome by communicating clearly and iterating fast.",4.0,3.0,2.0,5.0,4.0
"In my last role as a Customer Support (Junior), I faced resolving a conflict. I enjoy exploring new ideas and experimenting with better approaches. I’m comfortable giving credit and sharing ownership. I prefer flexibility over rigid routines. I delivered the outcome by communicating clearly and iterating fast.",5.0,3.0,2.0,5.0,4.0
"When learning a new tool came up, I collaborated across functions. I plan my work, break tasks into steps, and track progress carefully. I feel energized in group settings and enjoy meeting new people. I stay steady under pressure and keep a level head. I balanced speed and quality while keeping others informed.",2.0,5.0,5.0,2.0,2.0
"When leading a meeting came up, I collaborated across functions. I prefer flexibility over rigid routines. I can get stressed under uncertainty, so I actively seek clarity and reassurance. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. I balanced speed and quality while keeping others informed.",3.0,1.0,3.0,3.0,5.0
"When working with ambiguity came up, I collaborated across functions. When pressure spikes, I notice anxiety and have to manage it deliberately. I prefer flexibility over rigid routines. I focus on results even if the conversation is uncomfortable. I balanced speed and quality while keeping others informed.",3.0,2.0,4.0,3.0,5.0
"When managing stakeholders came up, I collaborated across functions. I’m curious and often propose creative alternatives. I listen first, try to understand others' perspectives, and look for win-win solutions. I can get stressed under uncertainty, so I actively seek clarity and reassurance. I balanced speed and quality while keeping others informed.",5.0,4.0,4.0,5.0,4.0
"When fixing a critical issue came up, I collaborated across functions. I plan my work, break tasks into steps, and track progress carefully. I often start conversations and help the team stay connected. I plan my work, break tasks into steps, and track progress carefully. I balanced speed and quality while keeping others informed.",4.0,5.0,5.0,4.0,2.0
"When managing stakeholders came up, I collaborated across functions. I do my best work in quiet environments and prefer one-on-one discussions. I’m comfortable debating strongly if I think it improves the outcome. I’m comfortable debating strongly if I think it improves the outcome. I balanced speed and quality while keeping others informed.",3.0,4.0,1.0,1.0,3.0
"In my last role as a Project Manager (Mid-level), I faced handling a deadline. I plan my work, break tasks into steps, and track progress carefully. I’m comfortable giving credit and sharing ownership. I listen first, try to understand others' perspectives, and look for win-win solutions. I delivered the outcome by communicating clearly and iterating fast.",3.0,4.0,3.0,4.0,4.0
"When receiving feedback came up, I collaborated across functions. I like clear procedures and established best practices. I use checklists and routines to avoid mistakes. I focus on results even if the conversation is uncomfortable. I balanced speed and quality while keeping others informed.",2.0,4.0,2.0,3.0,2.0
"In my last role as a HR Coordinator (Mid-level), I faced fixing a critical issue. Presenting ideas to a room is exciting for me. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. Presenting ideas to a room is exciting for me. I delivered the outcome by communicating clearly and iterating fast.",3.0,2.0,5.0,2.0,3.0
"During leading a meeting, I focused on structured execution. I recharge with focused solo time after collaboration. I enjoy exploring new ideas and experimenting with better approaches. I prefer flexibility over rigid routines. I documented what we learned and applied it next time.",4.0,3.0,1.0,3.0,3.0
"During working with ambiguity, I focused on structured execution. I enjoy exploring new ideas and experimenting with better approaches. I prefer flexibility over rigid routines. When pressure spikes, I notice anxiety and have to manage it deliberately. I documented what we learned and applied it next time.",5.0,1.0,4.0,1.0,4.0
"In my last role as a Finance Analyst (Intern), I faced fixing a critical issue. I enjoy exploring new ideas and experimenting with better approaches. I plan my work, break tasks into steps, and track progress carefully. I feel energized in group settings and enjoy meeting new people. I delivered the outcome by communicating clearly and iterating fast.",4.0,4.0,4.0,3.0,3.0
"During fixing a critical issue, I focused on structured execution. I recharge with focused solo time after collaboration. I’m comfortable debating strongly if I think it improves the outcome. Even when things go wrong, I stay calm and focus on solutions. I documented what we learned and applied it next time.",3.0,3.0,2.0,2.0,3.0
"As a Intern Marketing Specialist, I once handled handling a deadline. I follow through reliably and keep my commitments. Presenting ideas to a room is exciting for me. I’m comfortable debating strongly if I think it improves the outcome. The result was measurable improvement and positive feedback from stakeholders.",4.0,5.0,5.0,3.0,2.0
"When handling a deadline came up, I collaborated across functions. I like clear procedures and established best practices. Presenting ideas to a room is exciting for me. I focus on what works reliably rather than trying novel approaches. I balanced speed and quality while keeping others informed.",1.0,3.0,5.0,4.0,3.0
"When fixing a critical issue came up, I collaborated across functions. I’m sensitive to critical feedback at first, but I work through it. I sometimes miss small details if the pace is hectic. I can get stressed under uncertainty, so I actively seek clarity and reassurance. I balanced speed and quality while keeping others informed.",3.0,2.0,4.0,3.0,5.0
"In my last role as a Customer Support (Intern), I faced resolving a conflict. I sometimes miss small details if the pace is hectic. I enjoy exploring new ideas and experimenting with better approaches. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. I delivered the outcome by communicating clearly and iterating fast.",4.0,1.0,4.0,3.0,4.0
"During managing stakeholders, I focused on structured execution. I like learning unfamiliar tools and connecting concepts across domains. I can be blunt when discussing trade-offs and I challenge ideas directly. I stay steady under pressure and keep a level head. I documented what we learned and applied it next time.",4.0,3.0,3.0,2.0,3.0
"As a Intern Project Manager, I once handled working with ambiguity. I use checklists and routines to avoid mistakes. I feel energized in group settings and enjoy meeting new people. Presenting ideas to a room is exciting for me. The result was measurable improvement and positive feedback from stakeholders.",3.0,4.0,4.0,4.0,2.0
"When receiving feedback came up, I collaborated across functions. I focus on what works reliably rather than trying novel approaches. I plan my work, break tasks into steps, and track progress carefully. I can be blunt when discussing trade-offs and I challenge ideas directly. I balanced speed and quality while keeping others informed.",1.0,5.0,3.0,3.0,2.0
"During supporting a teammate, I focused on structured execution. I’m patient with teammates and try to be supportive. I can get stressed under uncertainty, so I actively seek clarity and reassurance. I prefer proven methods and practical solutions over experimentation. I documented what we learned and applied it next time.",3.0,3.0,3.0,4.0,4.0
"During supporting a teammate, I focused on structured execution. I prefer proven methods and practical solutions over experimentation. I tend to work in bursts and adjust as I go rather than sticking to a strict plan. I’m comfortable giving credit and sharing ownership. I documented what we learned and applied it next time.",1.0,2.0,2.0,4.0,4.0
"During receiving feedback, I focused on structured execution. I feel energized in group settings and enjoy meeting new people. I prefer proven methods and practical solutions over experimentation. I like clear procedures and established best practices. I documented what we learned and applied it next time.",2.0,2.0,5.0,3.0,3.0
"As a Intern Data Analyst, I once handled working with ambiguity. I’m curious and often propose creative alternatives. I sometimes miss small details if the pace is hectic. I prefer flexibility over rigid routines. The result was measurable improvement and positive feedback from stakeholders.",4.0,2.0,3.0,4.0,3.0
"During receiving feedback, I focused on structured execution. I sometimes miss small details if the pace is hectic. I feel energized in group settings and enjoy meeting new people. I prefer proven methods and practical solutions over experimentation. I documented what we learned and applied it next time.",2.0,1.0,5.0,2.0,5.0
